0.261799 -0.332141 -0.114162 -0.380782 -0.135654 -0.205866 -0.253556 -0.185826 -0.224981 -0.492659 -0.203735
0.785398 -0.234061 -0.170688 -0.252651 -0.197174 -0.170109 -0.200438 -0.164755 -0.186337 -0.294276 -0.282944
1.309 -0.177963 -0.171515 -0.184099 -0.190425 -0.144323 -0.180851 -0.14311 -0.172521 -0.193688 -0.258439
1.8326 -0.1449 -0.164376 -0.146537 -0.177152 -0.125535 -0.168569 -0.125803 -0.163493 -0.143332 -0.22751
2.35619 -0.122608 -0.156625 -0.122411 -0.165602 -0.110506 -0.159273 -0.111132 -0.156079 -0.114448 -0.202406
2.87979 -0.105973 -0.149544 -0.104993 -0.155755 -0.0978081 -0.15136 -0.0985299 -0.149398 -0.0958114 -0.18277
3.40339 -0.0925806 -0.14292 -0.0913426 -0.147266 -0.0868482 -0.144332 -0.0874034 -0.143029 -0.0823385 -0.167217
3.92699 -0.0814171 -0.136572 -0.0804639 -0.13989 -0.0774083 -0.137631 -0.077872 -0.136871 -0.0720794 -0.154628
4.45059 -0.0722319 -0.130651 -0.0711051 -0.133085 -0.0690797 -0.131423 -0.06944 -0.130995 -0.0637864 -0.144119
4.97419 -0.0642675 -0.12493 -0.0632286 -0.12688 -0.0618889 -0.125506 -0.0621735 -0.125436 -0.0569625 -0.135085
5.49779 -0.0573635 -0.11963 -0.0566115 -0.121008 -0.055609 -0.12005 -0.055842 -0.119914 -0.0511065 -0.127253
6.02139 -0.0515766 -0.114472 -0.0507353 -0.115538 -0.0500707 -0.114886 -0.050207 -0.114742 -0.0462055 -0.120335
6.54498 -0.0464452 -0.109633 -0.04573 -0.110565 -0.0452077 -0.109917 -0.0453171 -0.109817 -0.0418911 -0.114178
7.06858 -0.0419315 -0.105086 -0.0413156 -0.105758 -0.0410592 -0.105306 -0.0410342 -0.105378 -0.038101 -0.108632
7.59218 -0.0379597 -0.10077 -0.0375726 -0.10133 -0.037317 -0.100938 -0.0373295 -0.100942 -0.0347842 -0.103556
8.11578 -0.0347023 -0.0967674 -0.0340738 -0.0970791 -0.0340231 -0.096828 -0.0340151 -0.0968468 -0.0318819 -0.098937
8.63938 -0.0316518 -0.0929435 -0.0311983 -0.0931844 -0.0310737 -0.0929878 -0.0311032 -0.093015 -0.0292588 -0.0946986
9.16298 -0.0288392 -0.0894158 -0.0286349 -0.0895656 -0.0285351 -0.0894403 -0.0285026 -0.0894478 -0.0269017 -0.0908259
9.68658 -0.026616 -0.0859352 -0.0263066 -0.0862583 -0.0262685 -0.0860239 -0.0262075 -0.0861242 -0.0248974 -0.0871908
10.2102 -0.0244617 -0.0827808 -0.0242516 -0.0830273 -0.0242624 -0.0827593 -0.024198 -0.0828008 -0.0229939 -0.083758
10.7338 -0.0225586 -0.079799 -0.0224484 -0.0799686 -0.0223315 -0.0798611 -0.0223192 -0.0798927 -0.0213617 -0.080615
11.2574 -0.0209065 -0.0769749 -0.0207573 -0.0771568 -0.0206891 -0.0770084 -0.0206438 -0.0770739 -0.0198581 -0.0776652
11.781 -0.0194062 -0.0743302 -0.019242 -0.0744354 -0.0192404 -0.0743254 -0.0191714 -0.0744679 -0.0184771 -0.0748578
12.3046 -0.0180811 -0.0719311 -0.0179773 -0.0719453 -0.0178623 -0.0718907 -0.0178436 -0.0720089 -0.0172706 -0.0723803
